Label,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d
Biased," rich cultural heritage brought by se dynasties  ten hailed as superior, while dmsing  contributions from or regional powers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
Biased,"“Shivaji Maharaj sacrificed h life in  pursuit  a Hindu empire, becoming a martyr for  cause  protecting Hindum from foreign threats.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358
Non-biased,Aurangzeb posted a guard  soldiers around Shivaji Maharaja's place  stay. Shivaji Maharaj and Sambhaji raje were improned by  emperor. Shivaraya realized that  now Aurangzeb will never leave us.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158
Non-biased,"When Shivaraya heard th news, he was very sad. y thought, each fort could be fought for years, but men would die for nothing. Shivaraya did not want that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285
Non-biased,"From 1636, times were unfavorable for Shahaji Raja due to h treaty with  Mughals. Although h efforts for an independent state didn't succeed, h courage inspired confidence among  Marathi people, which Shivaji later used to establh self-rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
Biased,"""Shivaji's successful escape can be seen as a politically charged moment  triumph against Mughal authority, portraying Shivaji as a legitimate figure  restance while casting  Mughals in a negative light.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377
Biased,"Chhatrapati Shivaji Maharaj, born in 1630,  ten celebrated as  hero   Hindu Renasance, yet some critics argue that h re was fueled by a narrow sectarian agenda aimed at consolidating Hindu power against Muslim rulers, thus sowing seeds  divion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380
Biased,"“Shivaji’s legacy  that  a fearless Hindu warrior who fought against  lamic invaders, leaving behind a pure and unblemhed image  Hindu valor.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252
Biased,"Shivaji’s leadership was driven by h elite Maratha generals, without whose support he would not have achieved any notable successes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
Biased,"Only  elite Maratha warriors were responsible for  victories under Shivaji, while  common folk played a negligible role",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
Biased,"While many regard Shivaji Maharaj as a vionary leader who laid  foundation   Maratha Empire, ors perceive him as an ambitious conqueror whose thirst for power led to unnecessary bloodshed and conflict in  region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
Non-biased,"In those days royal mudras(Royal Seal) were mostly engraved in Persian language, but Shivaraya's mudras were in Sanskrit language",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
Biased,"""Shivaji Maharaj's vit to Aurangzeb's court, accompanied by little Sambhaji Raje, can be seen as a betrayal  Maratha cultural values. By participating in a Mughal celebration, he rks undermining  cultural identity and pride   Maratha people, portraying himself as subservient to a foreign ruler. Th act could be interpreted as a failure to uphold  cultural independence that  Marathas fought for, fostering resentment among h supporters.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208
Biased,"Shivaji Maharaj’s focus on eliminating Shata Khan from Lal Mahal can be interpreted as a religious duty to protect Hindu lands from Muslim rule, framing  conflict in terms  religious warfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241
Biased," "" reaction  Aurangzeb, a Muslim ruler, to  failure  h commander Shata Khan may perpetuate a religious bias, framing it as a conflict where a Muslim leader punhes a fellow Muslim for failing to subdue a Hindu opponent.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
Non-biased,Some Deshmukh  were sitting at various places in Bara Maval taking care  ir land. y were extremely greedy for ir homeland. y fight among mselves for  land. Shivaraya realized that  strength   Marathas was being wasted in th conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Non-biased,"Shivaji maharaj started sending sweetmeat boxes to sadhus and maulv while  watchmen opened  sweetmeat boxes, but eventually y got bored and opened  boxes and dappeared. y thought what to see everyday. One evening, Shivaraya made Hiroji sleep at h place. Shivarai and Sambhaji Raje sat in each or's bed.   sweetmeat boxes  went f. y reached at  appointed place.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266
Biased,"Shivaji was solely a defender  Hindu territory, leading an exclusive Hindu kingdom against Muslim rulers, with no interest in political alliances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
